plant_id,portfolio,month,year,MW_gen,pv_syst,irradiance,pv_irradiance,weather_adj,,
14,1,5,2018,45.32,15.98,,,,,
14,1,6,2018,45.42,16.26,,,,,
14,1,7,2018,45.71,16.44,,,,,
14,1,8,2018,36.82,15.26,,,,,
14,1,9,2018,30.44,13.42,,,,,
14,1,10,2018,13.55,13.17,,,,,
14,1,11,2018,4.58,12.45,,,,,
14,1,12,2018,0.05,0.06,,,,,
15,1,1,2018,4.23,8.09,,,,,
15,1,2,2018,7.22,9.19,,,,,
15,1,3,2018,39.15,14.54,,,,,
15,1,4,2018,35.51,15.27,,,,,
15,1,5,2018,49.88,15.98,,,,,
15,1,6,2018,49.98,16.26,,,,,
15,1,7,2018,50.31,16.44,,,,,
15,1,8,2018,40.52,15.26,,,,,
15,1,9,2018,33.51,13.42,,,,,
15,1,10,2018,14.91,13.17,,,,,
15,1,11,2018,5.24,12.45,,,,,
15,1,12,2018,0.06,9.39,,,,,
16,1,1,2018,8.1,8.09,,,,,
16,1,2,2018,11.99,9.19,,,,,
16,1,3,2018,28.79,14.54,,,,,
16,1,4,2018,26.93,15.27,,,,,
16,1,5,2018,24.81,15.98,,,,,
16,1,6,2018,45.52,16.26,,,,,
16,1,7,2018,51.2,16.44,,,,,
16,1,8,2018,40.4,15.26,,,,,
16,1,9,2018,34.91,13.42,,,,,
16,1,10,2018,20.26,13.17,,,,,
16,1,11,2018,12.14,12.45,,,,,
16,1,12,2018,9.7,10.27,,,,,
17,1,1,2018,10.03,8.09,,,,,
17,1,2,2018,13.51,9.19,,,,,
17,1,3,2018,33.22,14.54,,,,,
17,1,4,2018,27.26,15.27,,,,,
17,1,5,2018,44.34,15.98,,,,,
17,1,6,2018,42.3,16.26,,,,,
17,1,7,2018,45.59,16.44,,,,,
17,1,8,2018,36.93,15.26,,,,,
17,1,9,2018,30.85,13.42,,,,,
17,1,10,2018,16.6,13.17,,,,,
17,1,11,2018,6.07,12.45,,,,,
17,1,12,2018,4.9,5.4,,,,,
18,1,1,2018,9.1,8.09,,,,,
18,1,2,2018,11.7,9.19,,,,,
18,1,3,2018,31.78,14.54,,,,,
18,1,4,2018,30.63,15.27,,,,,
18,1,5,2018,45.33,15.98,,,,,
18,1,6,2018,44.45,16.26,,,,,
18,1,7,2018,49.98,16.44,,,,,
18,1,8,2018,38.61,15.26,,,,,
18,1,9,2018,25.89,13.42,,,,,
18,1,10,2018,20.54,13.17,,,,,
18,1,11,2018,4.57,12.45,,,,,
18,1,12,2018,7.27,6.96,,,,,
1,1,1,2019,18.65,13.46,68.6,48.1,11.29,,
1,1,2,2019,20.07,14.59,63.13,51.7,10.13,,
1,1,3,2019,33.73,29.12,122,105.4,30.03,,
1,1,4,2019,35.67,34.27,110,131.7,27.67,,
1,1,5,2019,37.05,40.35,132,158.2,34,,
1,1,6,2019,42.51,42.58,162,172.3,40.43,,
1,1,7,2019,48.43,43.11,162,178.3,39.56,,
1,1,8,2019,47.63,36.88,187,148.9,46.78,,
1,1,9,2019,34.53,34.91,115.3,140.3,28.98,,
1,1,10,2019,26.78,26.66,94.21,102.1,24.85,,
1,1,11,2019,13.97,15.15,46.67,56.9,12.55,,
1,1,12,2019,14.43,11.57,50.33,42.1,15.03,,
2,1,1,2019,1.35,14.03,77,47.8,13.12,,
2,1,2,2019,33.9,19.59,100,66.9,19.59,,
2,1,3,2019,20.37,32.65,140,115.3,19.32,,
2,1,4,2019,31.3,38.82,131,145.2,30.43,,
2,1,5,2019,35.36,43.84,134,170.2,34.86,,
2,1,6,2019,43.17,44.24,170,178.2,42.63,,
2,1,7,2019,50.78,45.1,203,183,50.53,,
2,1,8,2019,46.05,39.85,180,160.7,45.08,,
2,1,9,2019,33.98,31.86,123,123.9,31.94,,
2,1,10,2019,24.27,24.56,86.55,91.8,23.39,,
2,1,11,2019,11.4,14.29,37.32,51.3,10.78,,
2,1,12,2019,5.78,12.18,29.81,42.3,5.83,,
3,1,1,2019,0.43,14.12,81,47.6,5.01,,
3,1,2,2019,0.16,19.84,74.77,66.6,1.03,,
3,1,3,2019,8.42,34.32,148,119.9,9,,
3,1,4,2019,27.03,37.81,133,140.6,27.6,,
3,1,5,2019,39.84,45.9,159,177.3,38.89,,
3,1,6,2019,46.65,43.7,152,173.8,38.6,,
3,1,7,2019,46.78,43.33,180,173.5,45.47,,
3,1,8,2019,40.41,36.39,152.9,142.9,39.33,,
3,1,9,2019,22.88,27.65,94.6,107.5,24.58,,
3,1,10,2019,20.12,20.94,77.5,77.5,21.15,,
3,1,11,2019,7.59,13.28,28.71,47.4,7.7,,
3,1,12,2019,1.89,15.16,5.41,51.7,1.88,,
4,1,1,2019,1.09,8.56,78,30.3,4.97,,
4,1,2,2019,0.21,13.81,100,47.4,8.88,,
4,1,3,2019,21.79,29.95,148,105.8,18.58,,
4,1,4,2019,35.49,37.99,130,142,33.55,,
4,1,5,2019,35.74,45.07,141,176,35.29,,
4,1,6,2019,45.28,43.73,162.53,173.7,41.33,,
4,1,7,2019,44.75,43.89,185,178.2,46.06,,
4,1,8,2019,39.34,37.56,165.7,150.1,41.88,,
4,1,9,2019,30.01,28.2,104,109.2,27.13,,
4,1,10,2019,21.63,22.69,82.27,85.7,22.17,,
4,1,11,2019,8.29,13.98,32.88,50.9,7.17,,
4,1,12,2019,1.18,9.05,4.75,32.1,1.17,,
5,1,1,2019,0.01,4.8,115,18.6,2.6,,
5,1,2,2019,0.47,10.34,99.8,36.3,1.11,,
5,1,3,2019,11.95,27.9,120,98.7,10.89,,
5,1,4,2019,28.38,37.93,115,142.5,26.62,,
5,1,5,2019,32.12,44.26,122,171.7,31.76,,
5,1,6,2019,39.92,43.58,163.07,174.5,41.13,,
5,1,7,2019,47.11,45.05,189,182.2,47.28,,
5,1,8,2019,43.63,39.1,165.3,157.2,41.53,,
5,1,9,2019,27.37,30.66,101.5,119.8,26.24,,
5,1,10,2019,20.92,24.49,80,91.4,21.65,,
5,1,11,2019,3.08,12.78,24.69,47.1,3.18,,
5,1,12,2019,2.63,6.25,16.22,23.3,2.7,,
6,1,1,2019,0,8.4,76.5,29.8,1.63,,
6,1,2,2019,0,13.35,96.8,45.9,0,,
6,1,3,2019,3.04,30.3,148,106.1,3.75,,
6,1,4,2019,31.21,38.11,122,142.8,30.41,,
6,1,5,2019,37.35,44.67,142,174.7,36.08,,
6,1,6,2019,39.5,43.2,160,173,40.35,,
6,1,7,2019,49.92,44.07,203,178.5,50.62,,
6,1,8,2019,45.32,37.65,182,150.6,45.96,,
6,1,9,2019,29.54,28.36,99.5,111.2,25.63,,
6,1,10,2019,21.7,22.97,82.27,85.9,22.22,,
6,1,11,2019,6.97,13.84,47.74,50.2,7.13,,
6,1,12,2019,1.25,8.79,15.41,31.4,1.25,,
7,1,1,2019,15.03,14.77,68.2,51.5,11.91,,
7,1,2,2019,16.88,19.72,65.82,68.3,12.9,,
7,1,3,2019,34.37,31.29,126,112.6,31.24,,
7,1,4,2019,30.48,37.79,108,142,26.86,,
7,1,5,2019,38.41,42.97,140,167.1,36.36,,
7,1,6,2019,46.02,45.48,174,180.5,44.28,,
7,1,7,2019,48.42,45.34,183,184.9,45.32,,
7,1,8,2019,47.22,40.67,175,163.8,43.89,,
7,1,9,2019,35.11,32.72,114,129.7,29.05,,
7,1,10,2019,23.17,25.42,100,96.2,26.71,,
7,1,11,2019,12.58,15.29,53.9,55.5,13.14,,
7,1,12,2019,10.26,12.2,42.92,43.2,10.49,,
8,1,1,2019,15.05,12.78,73.7,44.6,9.89,,
8,1,2,2019,17.58,18.92,100,65.4,16.22,,
8,1,3,2019,33.7,31.22,120,111.6,29.66,,
8,1,4,2019,33.68,38.14,115,143.4,29.55,,
8,1,5,2019,38.3,43.96,140,169.8,36.61,,
8,1,6,2019,44.52,42.87,156,171.9,39.29,,
8,1,7,2019,46.45,44.79,164,180.4,41.13,,
8,1,8,2019,42.08,39.36,174,160.1,43.21,,
8,1,9,2019,34.8,32.94,137,129.4,35.22,,
8,1,10,2019,24.99,25.8,90.2,96.2,24.48,,
8,1,11,2019,10.59,15.25,49.88,56.3,10.98,,
8,1,12,2019,6.99,12.33,43.6,43.9,6.97,,
9,1,1,2019,17.98,13.6,67.2,47,11.41,,
9,1,2,2019,18.95,15.86,62.52,54.6,11.64,,
9,1,3,2019,32.52,29.13,123,105.2,30.86,,
9,1,4,2019,36.41,35.84,133,135.6,33.98,,
9,1,5,2019,35.79,42.64,137,165.5,35.65,,
9,1,6,2019,43.19,43.38,126,174,31.73,,
9,1,7,2019,48.62,44,182,178.8,45.24,,
9,1,8,2019,46.86,38.31,177,154.7,44.27,,
9,1,9,2019,33.91,34.49,114.7,136.4,29.29,,
9,1,10,2019,27.33,26.92,105.62,100.9,28.46,,
9,1,11,2019,13.01,16.51,43.11,59.4,12.1,,
9,1,12,2019,14.81,12.44,53.04,43.4,15.2,,
10,1,1,2019,17.67,13.06,67.2,47,10.95,,
10,1,2,2019,18.79,15.34,79.1,54.6,13.7,,
10,1,3,2019,32.78,28.37,125,105.2,30.54,,
10,1,4,2019,36.03,34.96,135,135.6,33.65,,
10,1,5,2019,35.42,41.68,137,165.5,34.85,,
10,1,6,2019,42.71,42.41,125,174,30.77,,
10,1,7,2019,48.49,43.02,182,178.8,44.23,,
10,1,8,2019,30.99,37.42,177,154.7,43.24,,
10,1,9,2019,32.64,33.65,114.7,136.4,28.58,,
10,1,10,2019,27.4,26.2,87.82,100.9,23.03,,
10,1,11,2019,14.16,15.92,43.11,59.4,11.67,,
10,1,12,2019,14.89,11.91,53.25,43.4,14.61,,
11,1,1,2019,11.92,14.82,70.4,51.9,11,,
11,1,2,2019,14.83,20.19,95.9,70.3,13.7,,
11,1,3,2019,31.74,31.24,132.2,113.2,34.8,,
11,1,4,2019,29.9,37.17,108,139.7,26.84,,
11,1,5,2019,36.65,42.24,140,165,36.2,,
11,1,6,2019,43.34,45.08,139,180.6,35.04,,
11,1,7,2019,46.17,45.19,177,184.9,43.58,,
11,1,8,2019,45.18,40.77,189,164.6,47.28,,
11,1,9,2019,33.22,32.28,133,126.9,34.17,,
11,1,10,2019,27.25,25.15,103,95.1,27.51,,
11,1,11,2019,11.62,14.31,53.4,52.9,12.79,,
11,1,12,2019,8.78,12.1,42.46,43.1,9.14,,
12,1,1,2019,14.75,11.52,70.3,40.6,8.55,,
12,1,2,2019,16.41,17.17,90.6,59.7,15.64,,
12,1,3,2019,32.17,30.46,137,109.3,33.78,,
12,1,4,2019,29.06,37.72,114,143.9,26.97,,
12,1,5,2019,37.25,42.9,141,168.3,36.3,,
12,1,6,2019,44.21,44.07,176,179.4,43.67,,
12,1,7,2019,48.65,46.14,203,189.8,49.84,,
12,1,8,2019,44.66,41.54,183,168.5,45.57,,
12,1,9,2019,31.86,32.94,127,130.4,32.4,,
12,1,10,2019,25.99,24.85,98.68,93.6,26.51,,
12,1,11,2019,9.04,13.64,42.59,50.6,9.22,,
12,1,12,2019,7.22,9.69,31.29,34.8,7.22,,
13,1,1,2019,0.24,10.86,71.7,37.5,3.85,,
13,1,2,2019,1.16,21.2,98,71.2,6.06,,
13,1,3,2019,31.61,28.86,123.4,100.1,28.08,,
13,1,4,2019,37,39.59,134,144.3,31.95,,
13,1,5,2019,40.58,45.72,146,174.6,37.99,,
13,1,6,2019,48.81,43.46,167,170.7,42.94,,
13,1,7,2019,48.11,43,182,169.6,46.61,,
13,1,8,2019,37.74,37.29,159,145.7,41.1,,
13,1,9,2019,24.29,29.04,88.84,110,23.69,,
13,1,10,2019,22.02,20.05,83.7,73.9,23.25,,
13,1,11,2019,10.02,13.92,49.89,49.6,10.39,,
13,1,12,2019,6.24,10.33,51.15,36.1,6.38,,
14,1,1,2019,0.01,8.37,76,29.6,0.81,,
14,1,2,2019,0,13.94,25.1,47.8,0,,
14,1,3,2019,3.03,30.34,150,106.1,5.08,,
14,1,4,2019,17.51,38.1,126,142.1,32.63,,
14,1,5,2019,34.87,44.88,142,175.3,36.13,,
14,1,6,2019,42.27,43.61,160,174,40.5,,
14,1,7,2019,40.02,44.75,186,179.4,46.96,,
14,1,8,2019,42.85,37.73,165.7,149,42.38,,
14,1,9,2019,27.76,28.61,99.7,111.3,25.88,,
14,1,10,2019,22.02,23.35,82.27,86.9,22.5,,
14,1,11,2019,8.88,13.46,47.74,49.1,7.09,,
14,1,12,2019,0.61,8.98,4.54,31.8,0.62,,
15,1,1,2019,16.29,14.7,79.3,51.1,11.85,,
15,1,2,2019,18.02,19.76,52.63,68.4,8.75,,
